timestamp,component,model_or_tool,tokens_in,tokens_out,latency_ms,cost_usd,conversation_id
2024-11-27T10:15:32+00:00,system1,gpt-4o-mini,1432,512,824.3,0.0079,conv-us-001
2024-11-27T10:16:04+00:00,scheduler,gpt-4o,612,148,932.1,0.0039,conv-us-001
2024-11-27T10:20:11+00:00,system2,o4-mini,988,403,715.6,0.0041,conv-lb-004
2025-11-29T14:12:02.853628+00:00,system1,o4-mini,278,301,8038.163,0.000222,3d052240-3cb7-4fd1-bdbb-d57bc46b841f
2025-11-29T14:12:06.562319+00:00,system1,gpt-4o-mini-2024-07-18,,,2676.044,,
2025-11-29T14:12:11.769808+00:00,system1,gpt-4o-mini-2024-07-18,,,4639.879,,
2025-11-29T14:12:56.151399+00:00,system1,o4-mini,314,401,5085.779,0.000288,3d052240-3cb7-4fd1-bdbb-d57bc46b841f
2025-11-29T14:12:59.698791+00:00,system1,gpt-4o-mini-2024-07-18,,,2498.146,,
2025-11-29T14:13:18.388722+00:00,apify,BvepfniODI2AixuNN,,,18508.64,,
2025-11-29T14:13:20.249897+00:00,google_maps,geocode,,,1349.103,,
2025-11-29T14:13:20.662578+00:00,google_maps,places_gym,,,241.28,,
2025-11-29T14:13:21.091510+00:00,google_maps,places_school,,,253.817,,
2025-11-29T14:13:21.521751+00:00,google_maps,places_university,,,219.705,,
2025-11-29T14:13:21.969699+00:00,google_maps,places_park,,,265.934,,
2025-11-29T14:13:22.325445+00:00,google_maps,places_shopping_mall,,,188.045,,
2025-11-29T14:13:22.685349+00:00,google_maps,places_hospital,,,185.474,,
2025-11-29T14:13:23.237873+00:00,google_maps,places_beach,,,378.942,,
2025-11-29T14:13:23.679192+00:00,google_maps,geocode,,,274.233,,
2025-11-29T14:13:24.132872+00:00,google_maps,places_gym,,,286.718,,
2025-11-29T14:13:24.675464+00:00,google_maps,places_school,,,372.928,,
2025-11-29T14:13:25.105396+00:00,google_maps,places_university,,,250.28,,
2025-11-29T14:13:25.563850+00:00,google_maps,places_park,,,276.376,,
2025-11-29T14:13:26.043495+00:00,google_maps,places_shopping_mall,,,280.492,,
2025-11-29T14:13:26.486094+00:00,google_maps,places_hospital,,,271.873,,
2025-11-29T14:13:27.012912+00:00,google_maps,places_beach,,,321.407,,
2025-11-29T14:13:27.410758+00:00,google_maps,geocode,,,225.933,,
2025-11-29T14:13:27.819629+00:00,google_maps,geocode,,,237.805,,
2025-11-29T14:13:28.280684+00:00,google_maps,places_gym,,,290.342,,
2025-11-29T14:13:28.778071+00:00,google_maps,places_school,,,310.25,,
2025-11-29T14:13:29.245062+00:00,google_maps,places_university,,,285.348,,
